Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_original,Price_vs_SMA50_original,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_chart,Price_vs_SMA50_chart,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Crossover_Age_Bucket,Validation_Status,Data_Completeness_Pct,Missing_Required_Data,Theory_Compliance_Score,Evaluation_Notes,Strategy_Family,Strategy_Family_Rank
DE,2025-08-25 07:25:13.745359,22.21,2.7,21.87,1.81,22.36,22.11,27.12,26.28,21.95,2.44,21.7,1.65,22.36,22.11,25.78,25.56,21.45,0.82,22.15,2.29,22.77,22.07,31.93,31.0,22.43,1.87,22.07,1.18,22.57,22.51,31.25,31.41,23.3,1.04,23.05,1.06,23.43,22.86,28.41,28.23,24.81,0.49,24.43,0.77,25.18,24.38,28.07,27.42,25.45,0.19,24.98,0.55,26.14,25.22,27.89,27.0,25.51,0.38,24.84,0.52,26.03,24.91,27.75,26.73,25.97,0.5,25.25,0.46,26.31,25.02,26.86,26.29,26.59,0.54,25.77,0.46,26.85,25.47,27.43,26.57,26.68,0.33,25.75,0.09,27.11,25.72,27.56,26.49,27.88,0.04,26.32,-0.4,28.68,26.48,28.78,27.1,28.1,0.12,26.43,-0.45,28.9,26.67,28.97,27.17,41.31,36.29,31.32,25.74,25.92,31.21,30.69,29.8,8/25/25,3038.006238044167,0.0,Flat,Stable,Rising,4.125185517713786,False,Compression,Bearish,-0.7694892697517565,-0.5734216749572125,Falling,12.632052931675886,53.57075425449961,Weak,10.247054094268906,True,0.45684592484480185,,0.0,,,False,-8.89,Bearish,Compression,22.43,31.32,8.89,-2.4399999999999977,-1.110000000000003,-3.830000000000002,-3.120000000000001,-28.38441890166028,-9.47940947940947,-4.282407407407419,-12.852348993288595,-10.469798657718124,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,Trending,Bearish,Bearish,7,True,-4.0037,-3.65,-2.71,473.89,472.95,1.72,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
TDY,2025-08-25 07:25:15.541775,20.14,0.24,20.14,0.24,20.68,20.69,20.49,20.49,20.14,0.24,20.14,0.24,20.68,20.69,20.49,20.49,20.14,0.24,20.14,0.24,20.68,20.69,20.49,20.49,19.81,0.0,19.86,0.05,20.68,20.69,20.44,20.34,19.47,0.18,19.45,0.2,20.07,20.28,20.41,20.12,20.44,0.52,20.01,0.28,20.81,20.79,20.93,20.4,20.9,0.67,20.25,0.29,21.25,21.09,21.18,20.54,21.09,0.55,20.24,0.11,21.46,21.13,21.34,20.62,21.22,0.47,20.23,-0.01,21.6,21.13,21.52,20.69,21.68,0.42,20.66,0.17,22.07,21.3,21.75,20.78,21.92,0.51,20.58,-0.12,22.03,21.28,21.75,20.78,22.4,0.6,20.72,-0.16,22.49,21.39,21.75,20.78,22.4,0.6,20.72,-0.16,22.49,21.39,21.75,20.78,17.49,14.57,17.63,15.19,16.51,24.93,24.97,23.6,8/25/25,3038.006238044167,0.0,Flat,Stable,Stable,0.36687872655688347,False,Low Vol,Bullish,0.7757273904872759,0.17817312013746464,Falling,31.96598652775547,52.39807490180893,Strong,14.706097656425342,True,0.7423572769523141,,0.0,,,False,2.1799999999999997,Bullish,Low Vol,19.81,17.63,2.1799999999999997,4.279999999999999,3.9299999999999997,-2.3800000000000026,-1.6799999999999997,12.365286443562109,28.1764318630678,23.803755299818288,-10.084745762711874,-7.118644067796609,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,Trending,Bullish,Bullish,7,True,3.9543,3.97,0.92,512.3,515.35,1.73,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
CASY,2025-08-25 07:25:16.942786,36.8,0.44,36.88,1.4,32.22,33.49,23.61,22.63,36.8,0.44,36.88,1.4,32.22,33.49,23.61,22.63,36.8,0.44,36.88,1.4,32.22,33.49,23.61,22.63,35.05,-0.69,35.03,0.08,32.22,33.49,26.15,25.25,30.31,-0.71,29.97,-0.88,29.35,30.08,29.58,28.78,28.95,-0.32,28.53,-0.32,28.35,28.34,28.12,27.39,30.29,-0.44,29.94,-0.33,29.89,29.27,27.37,26.67,29.3,-0.38,28.82,-0.27,29.44,28.69,29.11,28.14,28.64,-0.32,28.07,-0.21,28.73,27.95,28.79,27.79,28.64,-0.28,28.07,-0.16,28.56,27.77,28.54,27.52,28.64,-0.28,28.07,-0.16,28.56,27.77,28.54,27.52,28.64,-0.28,28.07,-0.16,28.56,27.77,28.54,27.52,28.64,-0.28,28.07,-0.16,28.56,27.77,28.54,27.52,12.96,12.99,13.62,27.71,26.4,32.27,31.0,29.37,8/25/25,3038.006238044167,100.0,Inverted,Rising,Stable,3.71279768727932,False,High Vol,Bullish,1.495380833601416,3.5125356241557126,Falling,31.377591601383937,50.202655222237475,Strong,20.434098453934734,True,0.5829985293561979,,0.0,,,False,21.43,Bullish,High Vol,35.05,13.62,21.43,2.599999999999998,2.5500000000000007,-0.7300000000000004,-0.7300000000000004,157.34214390602057,9.38289426199927,9.659090909090912,-2.485529451821588,-2.485529451821588,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,Trending,Bullish,Bullish,10,True,6.518,8.35,19.24,558.59,547.7,2.53,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
CACC,2025-08-25 07:25:18.548095,28.22,-0.53,28.52,0.14,31.08,30.55,42.99,46.11,28.22,-0.53,28.52,0.14,31.08,30.55,42.99,46.11,28.22,-0.53,28.52,0.14,31.08,30.55,42.99,46.11,28.62,-0.16,28.76,0.41,31.08,30.55,40.31,42.92,32.13,1.66,31.86,2.09,30.73,30.22,35.49,37.12,37.7,0.97,37.26,0.81,37.08,36.58,34.34,35.81,36.4,1.01,35.74,0.53,37.33,36.96,36.28,37.21,35.53,0.78,35.04,0.67,36.27,35.83,35.11,36.09,36.59,0.8,35.89,0.58,36.56,36.06,34.76,35.63,35.68,0.23,35.16,0.33,36.53,35.85,35.97,36.17,36.02,0.54,34.83,0.18,36.29,35.28,35.39,35.3,36.54,0.56,35.15,0.17,36.76,35.42,34.9,34.49,36.54,0.56,35.15,0.17,36.76,35.42,34.9,34.49,31.69,44.76,40.96,37.48,37.12,39.22,37.12,35.82,8/25/25,3038.006238044167,0.0,Contango,Falling,Falling,5.032125682938463,False,High Vol,Bearish,-1.6611820475564496,-0.5485364048949356,Stable,30.727059079362665,44.93736680424697,Strong,15.210711670681132,True,0.5314714070818005,,0.0,,,False,-12.34,Bearish,High Vol,28.62,40.96,12.34,-5.349999999999994,0.5800000000000054,0.7700000000000031,0.20000000000000284,-30.126953125,-14.274279615795077,1.5625000000000147,2.1496370742601982,0.5583472920156416,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,27,True,-2.7871,-7.69,-2.51,463.16,457.98,2.81,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
SNPS,2025-08-25 07:25:20.232723,29.88,-0.88,30.72,1.13,31.27,29.95,32.79,30.34,37.17,6.4,37.65,8.05,31.27,29.95,32.79,30.34,41.22,1.71,41.33,1.84,29.14,26.72,32.79,30.34,38.8,0.49,38.51,1.68,37.98,36.75,33.84,32.15,35.41,0.77,34.73,1.28,33.74,33.25,35.47,34.85,36.05,1.02,35.27,1.17,35.18,33.94,35.81,35.05,36.08,0.89,35.35,0.96,36.09,34.45,35.99,35.15,34.97,0.14,34.56,1.0,35.19,33.91,36.06,35.2,35.43,0.39,34.68,0.84,35.18,33.97,35.55,35.02,35.0,0.22,34.22,0.47,35.38,34.21,36.05,35.12,34.91,0.43,33.87,0.09,35.57,34.24,36.11,34.98,35.4,0.34,33.57,-0.43,35.58,34.16,36.24,34.69,35.4,0.34,33.57,-0.43,35.58,34.16,36.24,34.69,20.63,34.29,33.74,30.47,34.86,40.03,40.22,41.42,8/25/25,3038.006238044167,100.0,Mixed,Stable,Falling,2.1708574854702483,False,High Vol,Bullish,2.96300462565636,9.251115637195138,Falling,60.56953068563272,57.037908816991596,Strong,25.973097994013735,True,0.6694097421137561,Bull Flag,70.0,,,False,5.059999999999995,Bullish,High Vol,38.8,33.74,5.059999999999995,4.939999999999998,1.1899999999999977,-5.990000000000002,-6.510000000000005,14.99703615886187,16.21266819822776,3.4136546184738896,-14.461612747464997,-15.7170449058426,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,27,True,8.1494,13.78,40.56,465.19,438.41,3.05,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
NOC,2025-08-25 07:25:23.080139,16.35,1.25,16.13,0.58,17.88,16.62,18.79,19.04,16.35,1.25,16.13,0.58,17.88,16.62,18.79,19.04,16.35,1.25,16.13,0.58,17.88,16.62,18.79,19.04,16.49,1.28,15.97,0.28,17.88,16.62,18.77,19.02,17.98,1.23,16.86,-0.43,17.75,16.89,18.96,19.18,20.5,0.64,19.57,-0.9,20.31,19.15,20.94,20.92,20.36,0.33,19.6,-0.27,21.07,19.73,21.86,21.74,20.56,0.28,19.94,0.27,21.34,19.9,21.75,21.54,21.61,-0.18,21.19,0.03,22.61,20.62,21.76,21.46,22.6,0.07,21.61,-0.01,23.16,21.64,22.83,22.12,22.69,-0.07,21.73,-0.05,23.54,21.63,23.52,22.19,23.19,-0.03,22.19,0.33,24.01,22.19,24.29,22.75,23.19,-0.03,22.19,0.33,24.01,22.19,24.29,22.75,7.98,9.95,27.63,25.12,33.21,32.89,32.03,30.29,8/25/25,3038.006238044167,0.0,Contango,Falling,Falling,0.9382371176247984,False,Low Vol,Bullish,2.4794270586514013,1.2976956272038744,Falling,18.364474887902787,64.80806877625699,Moderate,21.109378641227238,True,1.2801321189343384,Double Bottom,70.0,,,False,-11.14,Bullish,Low Vol,16.49,27.63,11.14,-7.140000000000001,-12.71,-8.68,-7.599999999999998,-40.31849439015563,-28.423566878980893,-38.27160493827161,-28.656322218553974,-25.090789039286886,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,13,True,6.5557,13.98,7.4,563.8,570.38,1.8,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
KNSL,2025-08-25 07:25:27.611327,31.86,3.02,30.95,1.81,30.16,30.15,48.57,45.0,31.86,3.02,30.95,1.81,30.16,30.15,48.57,45.0,31.86,3.02,30.95,1.81,30.16,30.15,48.57,45.0,31.77,2.87,31.22,1.97,30.16,30.15,45.1,42.25,31.87,2.21,31.92,1.66,30.23,29.15,38.86,37.31,32.6,1.29,32.16,0.91,32.77,30.37,37.72,35.77,32.96,0.85,32.28,0.54,34.16,31.1,37.13,35.46,33.25,0.65,32.44,0.4,34.96,31.53,36.77,35.27,33.69,0.69,32.84,0.51,35.02,31.77,36.55,35.16,34.19,0.72,33.29,0.62,34.99,32.07,36.55,35.16,34.19,0.72,33.29,0.62,34.99,32.07,36.55,35.16,34.19,0.72,33.29,0.62,34.99,32.07,36.55,35.16,34.19,0.72,33.29,0.62,34.99,32.07,36.55,35.16,31.8,29.34,27.42,25.55,41.1,41.03,40.02,39.0,8/25/25,3038.006238044167,10.776439089692097,Flat,Rising,Rising,6.695642032114787,False,High Vol,Bullish,3.178012195440168,0.01713419346775757,Falling,26.009443845677335,75.06163141834838,Strong,29.581014547566614,True,0.9310989785195661,,0.0,Piercing Line,Moderate,False,4.349999999999998,Bullish,High Vol,31.77,27.42,4.349999999999998,6.32,-8.5,-5.310000000000002,-4.810000000000002,15.864332603938722,24.735812133072407,-20.68126520681265,-13.61538461538462,-12.33333333333334,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,Trending,Bullish,Bullish,11,True,3.4424,12.17,0.07,383.09,395.19,2.51,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
LIN,2025-08-25 07:25:29.088495,15.61,1.54,15.57,1.07,13.63,13.22,22.55,20.87,15.61,1.54,15.57,1.07,13.63,13.22,22.55,20.87,15.61,1.54,15.57,1.07,13.63,13.22,22.55,20.87,15.71,1.49,15.62,0.93,13.63,13.22,21.42,20.01,16.2,0.85,16.0,-0.01,15.95,15.11,19.42,18.5,16.89,0.61,16.67,0.16,17.53,16.25,18.86,17.99,17.59,0.54,17.08,0.14,18.01,16.65,19.25,18.24,17.94,0.45,17.31,0.11,18.2,16.84,19.47,18.39,18.0,0.32,17.38,0.09,18.29,17.04,19.61,18.51,18.59,0.42,17.64,-0.18,18.64,17.66,19.55,18.92,19.12,0.35,18.17,-0.17,19.14,18.29,19.53,18.86,20.09,0.25,18.94,-0.33,20.65,19.53,20.1,18.99,20.09,0.25,18.94,-0.33,20.65,19.53,20.1,18.99,6.43,11.9,11.93,12.27,13.94,21.47,20.5,19.89,8/25/25,3038.006238044167,26.700898587933246,Flat,Rising,Falling,3.293336707150769,False,Compression,Bullish,3.460748204790002,1.6631982958366476,Falling,32.516624143145016,89.64996017612378,Strong,9.865174273744849,True,0.6279550778959165,,0.0,Bullish Engulfing,Strong,True,3.780000000000001,Bullish,Compression,15.71,11.93,3.780000000000001,3.9299999999999997,2.950000000000001,-1.8900000000000006,-0.7699999999999996,31.684828164291712,32.02933985330073,21.16212338593975,-9.502262443438916,-3.8712921065862225,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,Trending,Bullish,Bullish,12,True,5.1746,14.27,6.98,412.27,419.56,1.54,False,True,Age_6_15,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
LMT,2025-08-25 07:25:32.790589,19.87,1.97,20.53,4.23,21.94,20.83,22.03,21.93,19.58,1.67,19.87,3.56,21.94,20.83,23.06,22.42,19.49,0.69,19.22,1.66,20.98,19.79,22.77,22.05,19.58,0.52,19.22,1.08,20.89,20.57,23.29,22.7,20.53,0.04,20.45,0.71,22.45,21.06,23.45,21.68,22.26,0.01,22.14,1.38,23.51,22.32,24.03,22.37,22.88,-0.16,22.77,1.56,24.04,23.01,24.31,22.71,22.46,-0.3,22.48,1.6,23.8,22.75,24.47,22.9,22.96,-0.5,22.92,1.33,24.22,22.76,24.49,22.84,23.79,-0.56,23.56,0.93,24.69,22.99,25.48,23.49,24.11,-0.44,23.68,0.74,25.05,23.22,25.66,23.75,24.2,-0.74,23.54,0.28,25.52,23.28,26.27,24.12,24.2,-0.74,23.54,0.28,25.52,23.28,26.27,24.12,15.82,14.67,36.92,32.36,29.23,30.11,30.98,29.23,8/25/25,3038.006238044167,0.0,Flat,Falling,Falling,1.5362363822739726,False,Low Vol,Bullish,4.147735554247813,4.046845129051847,Falling,16.656962637788162,69.72953021510448,Moderate,17.434122399946816,True,0.8904046169533615,,0.0,,,False,-17.340000000000003,Bullish,Low Vol,19.58,36.92,17.340000000000003,-11.829999999999998,-6.969999999999999,-6.27,-5.120000000000001,-46.966413867822325,-36.55747836835599,-23.845364351693462,-21.45056448853917,-17.516250427642834,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,18,True,6.6914,19.47,19.01,469.4,469.86,1.95,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
ULTA,2025-08-25 07:25:36.169526,53.88,4.06,53.6,3.92,52.39,50.87,24.53,25.43,49.08,-0.74,48.7,-0.98,52.39,50.87,24.28,24.02,42.71,-0.99,42.46,0.01,42.25,43.9,24.16,23.9,38.59,-0.72,38.09,-0.57,38.48,38.85,23.65,23.76,33.91,0.02,33.21,0.28,33.52,32.86,31.73,31.07,33.88,-0.33,33.4,0.0,33.67,33.01,31.67,30.95,33.66,-0.69,33.21,-0.35,33.87,33.33,31.64,30.88,32.73,-1.23,31.97,-0.41,33.58,32.76,31.62,30.83,33.07,-1.23,32.37,-0.25,33.97,32.98,31.59,30.6,33.22,-0.78,32.34,-0.61,34.18,32.95,32.06,31.4,33.69,-0.27,32.38,-0.64,34.0,32.75,32.55,31.63,34.21,0.31,32.79,0.06,34.73,33.58,33.73,32.22,34.21,0.31,32.79,0.06,34.73,33.58,33.73,32.22,26.37,24.01,21.51,29.56,29.01,40.16,39.15,38.63,8/25/25,3038.006238044167,100.0,Inverted,Stable,Rising,7.01699999208272,False,High Vol,Bullish,2.8330812199748268,10.581954583880911,Falling,50.66195203381251,58.41378391461515,Strong,20.426860037670412,True,0.5293303974519412,Double Bottom,70.0,,,False,17.080000000000002,Bullish,High Vol,38.59,21.51,17.080000000000002,4.349999999999998,4.870000000000001,-5.560000000000002,-4.940000000000005,79.4049279404928,14.715832205683348,16.787314719062397,-14.39295884027958,-12.787988609888698,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,31,True,7.3173,16.66,57.86,587.98,546.78,2.1,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
GPI,2025-08-25 07:25:45.098932,29.66,1.33,29.39,2.32,29.03,29.46,36.1,37.71,29.66,1.33,29.39,2.32,29.03,29.46,36.1,37.71,29.66,1.33,29.39,2.32,29.03,29.46,36.1,37.71,29.66,1.26,29.27,2.12,29.03,29.46,35.09,36.4,30.16,1.0,29.56,1.41,29.91,29.98,33.37,34.17,31.29,0.65,30.75,0.6,31.61,31.38,33.11,33.83,30.74,0.19,30.12,0.2,31.51,31.16,33.78,34.16,30.66,0.06,29.99,0.12,31.15,30.73,33.12,33.79,31.44,-0.21,30.68,0.05,31.77,31.15,32.75,33.49,31.07,0.32,30.01,0.01,31.66,30.86,32.81,32.33,30.91,0.34,29.68,-0.16,31.25,30.24,32.41,31.8,31.25,0.36,29.86,-0.07,31.47,30.25,32.35,31.52,31.25,0.36,29.86,-0.07,31.47,30.25,32.35,31.52,39.37,34.94,46.6,38.09,34.12,41.67,38.92,36.26,8/25/25,3038.006238044167,10.396039603960375,Flat,Stable,Falling,2.7204043817050447,False,Low Vol,Bearish,-1.302329239217174,-0.5415539253110354,Falling,16.1750426487325,47.949424598198235,Moderate,11.939053391029548,True,0.402530458227564,,0.0,Bearish Engulfing,Strong,True,-16.94,Bearish,Low Vol,29.66,46.6,16.94,-7.930000000000003,-2.8299999999999983,-4.819999999999997,-5.349999999999998,-36.351931330472105,-20.819112627986357,-8.294255568581473,-13.292884721456142,-14.754550468836177,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Neutral,Bearish,Bearish,0,True,-1.5994,-5.32,-2.19,408.31,405.18,2.56,False,True,Age_0_5,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
WSO,2025-08-25 07:25:46.318400,28.62,2.23,29.26,2.87,25.42,25.35,38.43,39.74,28.62,2.23,29.26,2.87,25.42,25.35,38.43,39.74,28.62,2.23,29.26,2.87,25.42,25.35,38.43,39.74,28.59,2.16,29.03,2.54,25.42,25.35,35.74,37.02,28.99,1.74,28.93,1.31,24.83,25.22,30.91,31.99,29.97,0.36,29.78,0.38,27.02,27.3,30.16,29.98,29.22,0.67,29.14,0.51,27.29,27.49,30.85,30.92,29.47,0.22,29.51,0.41,28.28,28.02,29.48,29.53,29.6,-0.1,29.7,0.3,29.14,28.51,29.59,29.35,29.12,0.21,28.79,0.12,29.15,28.64,29.15,28.61,29.12,0.21,28.79,0.12,29.15,28.64,29.15,28.61,29.12,0.21,28.79,0.12,29.15,28.64,29.15,28.61,29.12,0.21,28.79,0.12,29.15,28.64,29.15,28.61,33.39,35.36,31.26,27.47,33.58,35.46,35.15,33.21,8/25/25,3038.006238044167,30.717054263565874,Flat,Rising,Rising,4.316297281492811,False,Expansion,Neutral,0.43815848381277417,-0.46924875495785495,Stable,11.324745276557014,57.97188298829561,Weak,17.54627119396583,True,0.6137205734160835,,0.0,,,False,-2.6700000000000017,Bidirectional,Expansion,28.59,31.26,2.6700000000000017,1.5199999999999996,-3.6099999999999994,-3.6099999999999994,-4.09,-8.541266794625725,5.533309064433927,-10.750446694460987,-10.870219813309243,-12.315567600120444,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,Ranging,Bullish,Bullish,0,True,0.3124,1.52,-1.65,347.48,350.65,2.54,False,True,Age_0_5,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
TT,2025-08-25 07:25:50.418869,23.59,1.21,23.36,1.72,20.71,21.75,30.1,29.1,23.59,1.21,23.36,1.72,20.71,21.75,30.1,29.1,23.59,1.21,23.36,1.72,20.71,21.75,30.1,29.1,23.32,0.83,23.07,1.36,20.71,21.75,28.5,27.49,23.8,0.19,23.33,0.64,21.79,21.87,25.73,24.68,26.18,0.55,25.37,0.12,24.51,24.51,25.52,24.52,25.43,0.32,24.96,0.01,24.93,25.1,26.09,25.21,25.59,0.4,24.76,0.24,24.63,24.5,26.42,25.58,26.47,0.25,25.76,0.25,25.7,25.31,26.37,25.11,26.82,0.11,25.89,0.06,26.38,25.76,27.51,26.41,27.13,0.27,26.01,-0.02,26.66,25.82,27.76,26.46,27.4,0.33,26.08,-0.07,26.97,25.81,28.06,26.6,27.4,0.33,26.08,-0.07,26.97,25.81,28.06,26.6,19.7,34.76,32.36,24.55,28.36,32.06,32.22,30.5,8/25/25,3038.006238044167,33.504492939666235,Flat,Rising,Falling,3.237430393932131,False,Expansion,Bearish,-0.6948002305186238,-4.452036678028297,Falling,59.949088600621515,46.97566205806609,Strong,21.174051529888672,True,0.9079781959643513,,0.0,Bullish Engulfing,Strong,True,-9.04,Bearish,Expansion,23.32,32.36,9.04,-0.75,-2.1799999999999997,-4.030000000000001,-3.370000000000001,-27.935723114956733,-3.054989816700611,-7.686882933709449,-13.213114754098365,-11.049180327868855,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,Neutral,Bearish,Bearish,46,True,0.6466,-2.76,-18.37,396.95,412.56,2.01,False,True,Age_16_plus,Reject,0.0,No valid contracts selected,0.0,Contract selection failed: Unknown,Other,1
