Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_x,Price_vs_SMA50_x,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type_x,Regime_x,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Regime_y,EMA_Signal,Signal_Type_y,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_y,Price_vs_SMA50_y,SMA20,SMA50,Atr_Pct,Signal_Type,Universal_Data_Complete,Directional_Data_Complete,Data_Complete,Crossover_Age_Bucket,Regime,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,EXECUTABLE,Primary_Strategy,Secondary_Strategy,Success_Probability,Entry_Priority,Risk_Level
AXON,2025-08-25 07:24:27.463610,35.29,0.7,35.0,-0.32,37.24,36.75,65.31,64.9,35.29,0.7,35.0,-0.32,37.24,36.75,65.31,64.9,35.29,0.7,35.0,-0.32,37.24,36.75,65.31,64.9,35.34,0.75,35.03,-0.02,37.24,36.75,59.97,59.46,37.34,1.52,36.89,2.3,37.51,36.69,50.21,49.49,41.74,0.54,41.05,0.98,41.45,40.65,48.74,48.05,43.33,-0.22,42.58,0.14,43.58,42.79,47.99,47.32,42.4,-0.29,41.81,0.27,42.56,41.72,47.49,46.84,43.47,-0.11,42.72,0.3,43.5,42.51,46.31,45.86,44.61,0.16,43.53,0.11,44.6,43.45,46.62,45.94,44.81,0.16,43.56,-0.05,44.76,43.47,46.62,45.83,44.98,0.36,43.22,-0.15,44.79,43.24,46.39,45.39,44.98,0.36,43.22,-0.15,44.79,43.24,46.39,45.39,49.12,68.08,58.62,50.51,49.34,52.42,59.52,56.48,8/25/25,3014.2655609272224,0.0,Contango,Falling,Falling,11.189776087522434,False,High Vol,Neutral,3.79184321230457,-3.2897416424665664,Falling,36.78352284799673,61.157477230356655,Strong,39.30614914002026,True,1.112228328806459,,0.0,,,False,-23.279999999999994,Bidirectional,High Vol,35.34,58.62,23.279999999999994,-13.169999999999995,-7.600000000000001,-13.009999999999998,-11.669999999999995,-39.71340839303991,-26.074044743615115,-15.403323875152008,-23.034702549575066,-20.66218130311614,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,4,True,15.3264,21.33,-19.86,562.51,603.7,3.83,Bidirectional,False,True,False,Age_0_5,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-13.0)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-23.3, gap_60d=-13.2, gap_180d=-13.0, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
INTU,2025-08-25 07:24:28.818739,25.49,2.87,23.96,0.53,45.68,45.44,23.42,23.52,24.43,1.82,23.49,0.07,45.68,45.44,21.95,21.12,24.49,1.67,24.21,1.11,39.99,39.19,21.44,20.91,25.1,0.31,24.95,0.03,35.72,35.87,27.78,27.74,25.8,0.31,25.44,0.32,31.43,31.92,27.42,26.94,27.06,0.19,26.73,0.15,30.71,30.99,26.48,26.2,27.51,0.01,27.16,-0.08,30.46,30.57,27.44,27.06,27.27,0.07,26.68,-0.05,30.15,30.06,27.98,27.55,28.11,0.25,27.34,-0.15,30.37,30.01,27.89,27.44,29.02,0.43,28.04,-0.04,30.96,30.29,29.23,28.57,30.21,0.72,28.76,-0.02,31.42,30.72,29.83,29.07,30.81,0.4,29.5,-0.2,31.83,30.89,30.44,29.53,30.81,0.4,29.5,-0.2,31.83,30.89,30.44,29.53,38.76,32.97,29.23,23.82,27.75,32.68,34.67,33.4,8/25/25,3014.2655609272224,0.0,Flat,Falling,Rising,4.509377882689461,False,Compression,Bullish,2.2541074201349294,2.489653876233306,Falling,14.805119548492371,51.44869211636049,Weak,20.68172917953805,True,0.8239732740851812,,0.0,,,False,-4.129999999999999,Bullish,Compression,25.1,29.23,4.129999999999999,1.9800000000000004,-0.6900000000000013,-5.289999999999999,-3.1899999999999977,-14.129319192610328,8.312342569269523,-2.486486486486491,-15.838323353293413,-9.550898203592808,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,Trending,Bullish,Bullish,18,True,6.1979,14.91,16.43,661.64,660.12,2.03,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-5.3)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-4.1, gap_60d=2.0, gap_180d=-5.3, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
LLY,2025-08-25 07:24:30.589403,26.24,0.87,25.7,0.65,33.18,32.64,34.09,34.11,26.42,1.05,25.89,0.84,33.18,32.64,49.19,48.91,26.7,-0.04,26.17,0.05,32.08,31.52,50.06,49.2,26.92,-0.3,26.36,-0.45,31.32,30.41,45.6,46.24,29.36,0.08,28.91,0.05,32.07,31.06,40.38,39.91,32.44,0.12,32.1,0.46,35.26,34.13,38.42,37.67,32.09,0.17,31.08,0.27,35.15,34.1,38.98,38.0,31.92,-0.17,31.12,0.19,34.61,33.5,38.05,37.42,32.35,-0.18,31.8,0.39,35.17,34.13,37.06,36.0,32.97,0.17,31.98,0.24,34.99,33.36,36.39,35.32,33.32,0.18,32.1,0.09,34.99,33.19,35.83,34.67,34.07,0.34,32.34,-0.19,35.17,33.2,34.91,33.32,34.07,0.34,32.34,-0.19,35.17,33.2,34.91,33.32,21.49,65.09,56.88,43.19,51.4,49.07,45.83,43.54,8/25/25,3014.2655609272224,0.0,Contango,Falling,Falling,7.97371236557282,False,High Vol,Bullish,3.4427156510720174,10.496274101958553,Falling,24.907039617391433,69.36820299454749,Moderate,21.698824216803718,True,0.8060484478753238,,0.0,,,False,-29.96,Bullish,High Vol,26.92,56.88,29.96,-13.829999999999998,-18.96,-11.189999999999998,-10.219999999999999,-52.67229254571026,-32.02130122713591,-36.887159533073934,-25.70050528249885,-23.472668810289388,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,87,True,18.3787,35.87,102.38,1041.88,975.37,2.53,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-11.2)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-30.0, gap_60d=-13.8, gap_180d=-11.2, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
SPOT,2025-08-25 07:24:31.772207,36.73,2.22,36.24,1.9,37.36,38.62,81.84,83.9,36.69,2.18,36.23,1.89,37.36,38.62,69.67,70.64,36.73,1.8,36.5,1.52,36.72,37.22,61.18,62.38,36.46,1.1,36.47,0.84,36.28,38.15,54.26,56.06,39.57,1.45,39.2,1.17,38.18,38.81,47.54,48.06,44.06,0.44,43.53,0.25,43.31,43.5,45.02,45.44,42.66,0.43,42.13,-0.38,43.13,43.24,45.63,46.11,41.87,0.67,41.39,0.3,41.84,41.88,45.93,46.43,42.93,0.8,42.12,0.19,42.27,42.34,44.93,44.92,43.71,0.32,42.76,0.02,43.7,43.15,45.57,45.61,43.57,0.4,42.49,0.12,43.28,42.62,45.58,45.27,43.65,0.53,41.59,-0.28,43.4,41.92,46.08,44.78,43.65,0.62,41.19,-0.53,43.34,41.84,46.44,44.81,33.64,61.18,53.49,46.51,46.18,52.92,51.59,49.29,8/25/25,3014.2655609272224,1.001112347052279,Mixed,Stable,Falling,8.433747025426412,False,High Vol,Neutral,0.7216910274317112,-4.952771882463046,Falling,17.479017180488444,57.73089017600588,Moderate,28.615568820170484,True,0.784848294574067,,0.0,,,False,-17.03,Bidirectional,High Vol,36.46,53.49,17.03,-6.939999999999998,-2.1199999999999974,-6.359999999999999,-5.719999999999999,-31.837726677883715,-14.92152225327886,-4.590731918579466,-12.903225806451612,-11.604787989450191,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,84,True,2.2927,4.19,-30.45,580.16,614.8,2.98,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,1.001112347052279,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=1, gap_180d=-6.4)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-17.0, gap_60d=-6.9, gap_180d=-6.4, IV_Rank=1",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
URI,2025-08-25 07:24:33.426838,27.52,0.3,27.46,2.05,27.05,24.71,48.51,48.19,28.43,1.21,27.98,2.57,27.05,24.71,41.56,41.25,28.8,0.87,28.66,2.26,27.09,25.97,36.48,37.06,28.7,0.94,28.66,1.63,28.01,26.45,35.11,35.39,29.83,0.12,29.4,0.34,29.28,27.91,31.85,31.67,30.93,0.11,30.46,0.38,30.24,28.96,31.93,31.5,31.37,0.02,30.92,0.37,30.77,29.54,31.96,31.42,31.41,-0.04,31.08,0.6,31.09,29.71,31.99,31.37,32.34,0.24,31.68,0.52,31.79,30.41,32.18,31.46,33.08,0.28,32.27,0.2,32.33,31.03,32.9,32.2,33.57,0.39,32.54,0.08,32.71,31.25,33.39,32.73,34.24,0.41,32.9,-0.04,33.45,31.94,34.71,33.62,34.24,0.41,32.9,-0.04,33.45,31.94,34.71,33.62,38.42,31.04,38.68,31.27,34.5,41.36,40.24,39.27,8/25/25,3014.2655609272224,9.7183098591549,Flat,Stable,Stable,3.196772678117034,False,Compression,Neutral,2.201251985903328,-2.02295123065652,Falling,19.490780951643185,60.083196945981086,Moderate,23.650005947923788,True,0.8240420190914212,Ascending Triangle,63.0,,,False,-9.98,Bidirectional,Compression,28.7,38.68,9.98,-1.4400000000000013,-3.5700000000000003,-6.93,-5.700000000000003,-25.80144777662875,-4.605052766229617,-10.347826086956523,-17.64705882352941,-14.51489686783805,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,63,True,8.859,17.83,-17.09,810.11,845.03,2.85,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,9.7183098591549,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=10, gap_180d=-6.9)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-10.0, gap_60d=-1.4, gap_180d=-6.9, IV_Rank=10",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MPWR,2025-08-25 07:24:34.590863,40.36,0.84,40.43,2.11,40.01,37.67,56.32,57.17,40.36,0.84,40.43,2.11,40.01,37.67,56.32,57.17,40.36,0.84,40.43,2.11,40.01,37.67,56.32,57.17,40.44,0.87,40.53,2.12,40.01,37.67,53.56,54.06,41.36,1.11,41.24,1.83,40.41,38.3,48.76,48.64,43.22,1.15,42.48,1.18,41.65,39.65,47.65,47.67,43.7,0.79,42.93,0.78,42.34,40.4,47.08,47.18,42.2,-0.1,42.51,1.16,42.28,40.45,46.72,46.84,42.74,-0.3,42.53,0.66,42.72,40.56,46.09,45.54,43.06,-0.15,42.57,0.53,42.62,40.83,46.47,45.73,42.97,-0.02,42.01,0.21,42.42,40.88,46.04,45.16,42.86,0.02,41.22,-0.31,42.56,40.85,45.55,44.08,42.86,0.02,41.22,-0.31,42.56,40.85,45.55,44.08,42.12,53.73,45.09,40.99,44.55,67.19,67.0,63.1,8/25/25,3014.2655609272224,3.17343173431734,Flat,Stable,Falling,6.28862995148122,False,High Vol,Bearish,-0.4091726588812188,-2.093780563277485,Falling,13.212678521798752,45.5260011444503,Weak,31.360814780765317,True,0.7754899797419713,,0.0,,,False,-4.650000000000006,Bearish,High Vol,40.44,45.09,4.650000000000006,0.36999999999999744,-1.3299999999999983,-20.36,-20.130000000000003,-10.312707917498349,0.9026591851671076,-2.9854096520763154,-32.2662440570523,-31.901743264659277,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,9,True,3.0397,-3.89,-20.24,950.21,966.56,3.39,Bidirectional,False,True,False,Age_6_15,UNKNOWN_REGIME,3.17343173431734,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=3, gap_180d=-20.4)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-4.7, gap_60d=0.4, gap_180d=-20.4, IV_Rank=3",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
META,2025-08-25 07:24:35.957669,25.73,1.2,25.66,0.89,25.54,24.88,54.95,54.26,25.84,1.31,25.75,0.98,25.54,24.88,47.07,45.78,26.21,0.71,26.11,0.55,25.21,24.58,41.34,40.46,26.67,0.16,26.53,0.35,25.73,25.29,37.5,36.83,29.01,0.73,28.7,0.75,27.15,26.39,32.61,32.07,32.44,0.12,32.03,0.17,31.54,30.82,31.7,30.98,31.73,0.02,31.26,-0.08,31.66,30.94,33.6,32.75,31.93,0.26,31.32,0.21,31.34,30.42,32.88,31.9,33.47,0.08,32.81,0.15,32.95,31.87,32.45,31.54,34.09,-0.02,33.09,-0.06,34.11,32.88,33.83,32.59,34.28,-0.09,33.35,0.15,34.3,33.07,33.92,32.59,34.89,0.36,32.79,-0.3,34.76,32.85,35.2,33.2,35.18,0.64,32.66,-0.36,34.91,32.91,35.49,33.35,27.48,48.13,39.95,32.97,35.16,45.24,41.77,40.08,8/25/25,3014.2655609272224,7.98640611724725,Contango,Stable,Falling,5.340676195223056,False,High Vol,Bullish,1.1875695566930613,0.9632487387545416,Falling,62.79018228576842,44.62253725504435,Strong,18.58387869457353,True,0.6968083500027571,Double Bottom,70.0,Dark Cloud Cover,Moderate,False,-13.280000000000001,Bullish,High Vol,26.67,39.95,13.280000000000001,-3.9599999999999973,-2.719999999999999,-6.609999999999999,-5.799999999999997,-33.2415519399249,-12.010919017288437,-7.736063708759952,-16.49201596806387,-14.47105788423153,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,21,True,6.0148,7.78,6.33,655.51,656.96,2.62,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,7.98640611724725,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=8, gap_180d=-6.6)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-13.3, gap_60d=-4.0, gap_180d=-6.6, IV_Rank=8",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MCK,2025-08-25 07:24:37.570420,20.03,2.46,19.92,-0.86,19.92,21.58,23.0,23.48,20.02,2.45,20.01,-0.76,19.92,21.58,33.02,33.42,20.63,1.49,20.7,0.79,20.74,20.54,31.31,31.87,21.39,1.21,21.46,0.82,20.03,19.83,30.87,30.43,22.76,1.47,22.37,0.73,22.08,21.48,25.6,25.64,23.8,1.04,23.36,0.49,23.11,22.99,25.41,24.96,23.37,0.79,22.78,0.17,23.22,22.86,25.32,24.61,23.31,0.76,22.69,0.13,23.17,22.49,24.58,24.38,23.95,0.59,23.48,-0.08,23.82,23.04,24.18,24.27,24.15,0.68,23.22,-0.26,24.2,23.17,24.85,24.54,24.4,0.67,23.31,-0.26,24.3,23.26,24.58,24.1,24.65,0.64,23.29,-0.44,24.83,23.4,24.46,23.71,24.65,0.64,23.29,-0.44,24.83,23.4,24.46,23.71,27.76,32.3,26.68,22.82,22.74,23.64,23.27,22.42,8/25/25,3014.2655609272224,12.546125461254608,Flat,Rising,Stable,4.821544243174472,False,Compression,Bullish,1.0100279283525728,0.1462870122034949,Falling,35.21585036824429,61.28478383765835,Strong,13.34511959128851,True,0.6238952590597714,Ascending Triangle,63.0,,,False,-5.289999999999999,Bullish,Compression,21.39,26.68,5.289999999999999,-0.05999999999999872,1.0600000000000023,1.5299999999999976,1.9799999999999969,-19.827586206896548,-0.2629272567922819,4.661389621811796,6.824264049955385,8.831400535236382,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,22,True,6.0375,8.28,1.21,819.98,827.05,1.6,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,12.546125461254608,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=13, gap_180d=1.5)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-5.3, gap_60d=-0.1, gap_180d=1.5, IV_Rank=13",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
TYL,2025-08-25 07:24:43.940959,23.59,2.61,22.75,1.61,24.55,23.9,34.8,33.35,23.59,2.61,22.75,1.61,24.55,23.9,34.8,33.35,23.59,2.61,22.75,1.61,24.55,23.9,34.8,33.35,23.47,2.08,22.83,1.54,24.55,23.9,32.48,31.28,23.83,-0.23,23.5,0.99,23.81,23.13,28.32,27.58,25.36,0.33,24.71,1.05,24.69,23.91,27.38,26.63,25.98,0.5,25.19,0.97,25.22,24.39,26.89,26.15,25.76,0.52,24.9,0.64,25.58,24.52,26.6,25.85,25.61,0.54,24.7,0.41,25.84,24.57,26.46,25.6,25.51,0.56,24.57,0.26,26.05,24.62,26.28,25.28,25.51,0.56,24.57,0.26,26.05,24.62,26.28,25.28,25.51,0.56,24.57,0.26,26.05,24.62,26.28,25.28,25.51,0.56,24.57,0.26,26.05,24.62,26.28,25.28,25.79,31.37,27.05,24.17,25.42,28.94,28.45,27.55,8/25/25,3014.2655609272224,0.0,Flat,Stable,Stable,4.017066370153997,False,Compression,Neutral,0.3995857278226854,-2.2773828613210902,Falling,28.230571889719496,42.17894363168816,Strong,14.936872814891913,True,0.6364240653980364,,0.0,,,False,-3.580000000000002,Bidirectional,Compression,23.47,27.05,3.580000000000002,-0.3400000000000034,-0.060000000000002274,-1.9400000000000013,-2.039999999999999,-13.234750462107215,-1.406702523789836,-0.23603461841070916,-7.041742286751365,-7.4047186932849325,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,128,True,4.0007,1.83,-10.74,459.22,471.8,2.07,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-1.9)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-3.6, gap_60d=-0.3, gap_180d=-1.9, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MSCI,2025-08-25 07:24:45.613351,21.83,1.64,21.28,0.06,20.95,20.3,22.64,21.68,21.83,1.64,21.28,0.06,20.95,20.3,22.64,21.68,21.83,1.64,21.28,0.06,20.95,20.3,22.64,21.68,21.64,1.42,21.2,-0.06,20.95,20.3,22.35,21.37,22.35,1.29,22.02,0.03,22.0,21.58,21.98,20.85,24.77,0.97,24.12,0.25,23.98,22.49,23.08,21.03,23.93,0.5,23.17,-0.07,24.08,22.81,24.79,22.76,24.11,0.25,23.44,-0.04,24.19,23.11,25.74,23.71,24.24,0.08,23.61,-0.02,24.33,23.34,25.73,23.71,24.65,-0.23,23.9,0.16,24.45,23.54,25.73,23.7,24.65,-0.23,23.9,0.16,24.45,23.54,25.73,23.7,24.65,-0.23,23.9,0.16,24.45,23.54,25.73,23.7,24.65,-0.23,23.9,0.16,24.45,23.54,25.73,23.7,23.17,22.91,35.05,28.14,25.42,30.76,29.19,28.13,8/25/25,3014.2655609272224,49.2857142857143,Flat,Stable,Falling,0.5715670467135854,False,Compression,Bullish,5.124974049109342,4.515027564763934,Falling,32.79465072999947,93.26048141032885,Strong,10.460557156337403,True,0.4833898870765898,Ascending Triangle,63.0,,,False,-13.409999999999997,Bullish,Compression,21.64,35.05,13.409999999999997,-5.789999999999999,-0.6500000000000021,-3.8900000000000006,-3.4800000000000004,-38.25962910128388,-20.57569296375266,-2.5570416994492606,-13.828652683967297,-12.371134020618559,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,Trending,Bullish,Bullish,7,True,15.1093,28.52,25.27,556.47,559.72,1.67,Bidirectional,False,True,False,Age_6_15,UNKNOWN_REGIME,49.2857142857143,Long Strangle,1,Expansion + Moderately Cheap IV (IV_Rank=49),"Natenberg Ch.9 - OTM volatility (cheaper, needs bigger move)",Bidirectional,"gap_30d=-13.4, gap_60d=-5.8, gap_180d=-3.9, IV_Rank=49",5000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,68,Bidirectional,Volatility,True,Long Strangle,None,0.68,Medium,Medium
CHE,2025-08-25 07:24:51.259863,28.11,-1.34,27.93,-1.47,28.97,30.06,41.06,40.9,28.11,-1.34,27.93,-1.47,28.97,30.06,41.06,40.9,28.11,-1.34,27.93,-1.47,28.97,30.06,41.06,40.9,27.45,-1.61,27.3,-1.62,28.97,30.06,37.73,37.06,26.38,-0.21,26.12,0.46,27.85,27.14,31.65,29.9,27.43,-0.3,26.77,0.3,28.01,27.16,30.6,29.21,27.87,-0.39,27.03,0.18,28.15,27.3,30.07,28.87,27.74,-0.36,26.87,0.29,28.05,27.03,29.74,28.65,27.65,-0.33,26.77,0.36,27.95,26.77,29.53,28.28,27.59,-0.31,26.7,0.42,27.86,26.55,29.26,27.82,27.59,-0.31,26.7,0.42,27.86,26.55,29.26,27.82,27.59,-0.31,26.7,0.42,27.86,26.55,29.26,27.82,27.59,-0.31,26.7,0.42,27.86,26.55,29.26,27.82,20.02,43.88,38.12,40.74,37.79,34.61,33.86,31.82,8/25/25,3014.2655609272224,0.0,Flat,Falling,Falling,4.530469683769614,False,Compression,Neutral,0.5836996797054141,-0.6825762152047788,Falling,24.229303930614577,61.06654793935115,Moderate,9.422022725093255,True,0.34324308652434443,,0.0,,,False,-10.669999999999998,Bidirectional,Compression,27.45,38.12,10.669999999999998,-14.360000000000003,-10.36,-4.170000000000002,-4.23,-27.990556138509966,-35.24791359842907,-27.414659962953163,-13.10496543054683,-13.293526084223759,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,3,True,2.0416,2.51,-2.97,429.67,435.15,1.85,Bidirectional,False,True,False,Age_0_5,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-4.2)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-10.7, gap_60d=-14.4, gap_180d=-4.2, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
