Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,IV30_Call,HV30,IVHV_gap_30D,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Regime,EMA_Signal,Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20,Price_vs_SMA50,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Data_Complete,Crossover_Age_Bucket,Primary_Strategy,Secondary_Strategy,Strategy_Type,Confidence,Success_Probability,Trade_Bias,Entry_Priority,Risk_Level,Strategy_Tier,EXECUTABLE,Dollar_Allocation,Max_Position_Risk,Num_Contracts,Risk_Reward_Ratio,Portfolio_Weight,Risk_Per_Contract,Sizing_Method,Position_Valid,Min_DTE,Max_DTE,Preferred_DTE,Timeframe_Label,Timeframe_Rationale,Contract_Selection_Status,Selected_Expiration,Actual_DTE,Selected_Strikes,Contract_Symbols,Option_Type,Total_Debit,Total_Credit,Liquidity_Score,Open_Interest,Bid_Ask_Spread_Pct,Actual_Risk_Per_Contract,Risk_Model,Structure_Simplified,Contract_Intent,Pre_Filter_Status,Filter_Reason,PCS_Score,Execution_Ready,PCS_Final,Best_Strategy,Leg_Count,Capital_Allocation_Recommended,Contracts_Recommended
UNP,2025-08-25 07:31:28.918951,18.91,1.96,19.4,2.49,21.57,19.48,32.81,33.79,19.1,2.15,19.35,2.44,21.57,19.48,26.45,28.1,19.09,0.17,19.22,1.58,18.12,18.33,22.59,24.18,19.67,1.12,19.45,0.97,18.33,17.96,19.53,21.69,20.4,1.04,20.25,0.88,19.12,18.97,21.44,22.61,21.73,0.85,21.28,0.64,20.67,19.93,21.03,21.09,21.4,-0.26,21.07,0.59,21.21,20.2,21.8,22.13,21.97,0.36,21.34,0.16,21.19,20.1,21.8,21.85,22.0,-0.23,21.57,-0.28,22.19,21.09,21.17,21.12,22.68,-0.14,22.08,0.42,22.6,21.3,22.24,21.41,23.09,-0.17,22.44,-0.04,23.13,22.06,22.78,21.65,23.76,-0.4,22.7,-0.2,24.75,22.73,24.64,23.56,24.23,-0.22,22.84,-0.3,25.31,22.99,25.39,23.83,17.05,19.65,23.29,19.3,21.76,26.37,25.47,24.31,8/25/25,2986.466742547222,100.0,Flat,Rising,Falling,19.67,23.29,-3.6199999999999974,3.6199999999999974,1.0999999999999979,-0.030000000000001137,-2.3099999999999987,-1.2199999999999989,-15.543151567196212,5.699481865284963,-0.13786764705882873,-9.502262443438909,-5.018510900863838,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,Neutral,Bullish,Bullish,35,True,-0.684,-1.26,7.03,234.7,226.41,1.51,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.648375,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.84,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[240.0],"[""UNP260320C00240000""]",call,1340.0,0.0,59.00944013212711,1439,6.153846153846159,670.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,87.70283203963814,True,87.70283203963814,Long Call,1,6700.0,5.0
HON,2025-08-25 07:31:22.959395,15.86,1.5,15.94,1.45,17.17,16.78,38.91,39.21,16.29,1.93,16.27,1.77,17.17,16.78,32.48,34.06,16.67,1.19,16.55,1.04,16.33,16.27,27.82,29.61,16.81,0.73,16.54,0.68,17.87,16.77,25.35,24.02,18.4,1.03,18.06,0.88,18.12,18.09,22.43,21.78,20.06,0.69,19.6,0.62,19.74,19.09,22.66,21.67,19.45,0.2,19.0,0.34,20.2,19.2,22.35,21.22,19.49,0.2,18.95,0.47,20.29,19.3,22.18,20.97,19.86,-0.05,19.27,0.46,20.85,19.55,22.4,21.4,20.37,-0.31,19.64,0.43,21.73,19.96,23.01,21.16,21.08,-0.27,20.25,0.42,22.35,20.5,23.37,21.45,22.53,0.07,21.29,0.58,23.35,21.29,24.28,21.92,22.53,0.07,21.29,0.58,23.35,21.29,24.28,21.92,14.8,16.19,23.76,19.61,22.17,28.36,27.65,26.46,8/25/25,2986.466742547222,0.0,Contango,Falling,Falling,16.81,23.76,-6.950000000000003,6.950000000000003,-1.2100000000000009,-2.110000000000003,-6.600000000000001,-5.380000000000003,-29.25084175084176,-6.170321264660892,-9.517365809652697,-24.943310657596378,-20.332577475434626,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Ranging,Bullish,Bullish,11,True,-0.0194,2.73,2.18,194.64,195.19,1.44,True,True,True,Age_6_15,Long Call,Cash-Secured Put,Directional,70.0,0.6649999999999999,Bullish,High,Medium,1,True,156.91548980049316,156.91548980049316,2,1.99,0.15691548980049316,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (70.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[195.0],"[""HON260320C00195000""]",call,2000.0,0.0,58.77891948982121,323,4.081632653061227,1000.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,87.63367584694636,True,87.63367584694636,Long Call,1,6000.0,3.0
ACN,2025-08-25 07:27:16.080784,26.35,0.94,26.44,1.08,28.26,27.57,23.22,26.1,26.57,1.16,26.51,1.15,28.26,27.57,23.47,22.75,26.96,0.87,26.75,1.32,27.54,26.9,23.58,22.77,34.49,4.67,34.31,4.42,28.05,27.86,23.14,23.21,34.6,0.87,34.28,0.92,35.13,34.29,23.79,24.19,33.36,0.72,32.85,0.65,33.95,33.3,25.5,25.86,33.91,0.18,33.49,0.75,34.44,33.58,26.32,26.66,33.93,-0.27,33.55,0.56,35.06,33.96,27.0,26.31,32.95,0.02,32.55,0.27,34.35,32.89,27.34,26.06,33.07,-0.33,32.47,0.16,34.34,33.07,27.35,26.18,32.77,-0.62,32.23,0.17,34.41,32.94,27.43,26.01,33.06,-0.71,32.27,0.28,35.08,32.68,28.38,26.31,33.06,-0.71,32.27,0.28,35.08,32.68,28.38,26.31,21.56,33.41,28.89,29.37,27.19,31.75,30.54,30.06,8/25/25,2986.466742547222,100.00000000000001,Mixed,Rising,Falling,34.49,28.89,5.600000000000001,5.600000000000001,5.23,6.169999999999998,2.890000000000004,2.7100000000000044,19.383869851159574,17.807286346612187,22.69216623758734,9.614105123087173,9.015302727877593,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,Ranging,Bullish,Bullish,31,True,0.061,2.46,16.21,268.63,254.88,2.12,True,True,True,Age_16_plus,Cash-Secured Put,Long Call,Directional,70.0,0.6982499999999999,Bullish,High,Medium,1,True,156.91548980049316,156.91548980049316,2,2.31,0.15691548980049316,500,volatility_scaled,True,45,60,52,Medium,Income strategy with moderate confidence (70.0): 45-60 DTE allows adjustment time,Success,2026-02-20,54,[265.0],"[""ACN260220C00265000""]",put,2860.0,0.0,63.42756119123632,310,2.836879432624116,1430.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,87.0282683573709,True,87.0282683573709,Cash-Secured Put,1,5720.0,2.0
ABT,2025-08-25 07:27:05.804608,18.88,1.45,19.27,1.38,21.45,19.63,20.34,18.74,18.43,1.0,18.62,0.72,21.45,19.63,19.84,18.1,18.3,0.88,18.26,1.24,20.92,19.47,20.1,18.46,18.05,0.45,18.17,0.96,18.94,18.97,19.39,19.47,20.48,1.7,20.14,1.05,19.47,19.37,18.97,18.24,20.78,0.64,20.47,1.06,20.13,19.78,20.35,19.32,20.48,0.34,20.15,0.66,20.12,19.62,21.0,19.84,20.44,0.17,20.08,0.53,20.01,19.43,20.58,19.78,20.86,-0.54,20.39,0.77,20.77,20.03,20.45,19.81,21.29,-0.25,20.76,0.25,21.67,20.49,21.62,20.39,21.91,-0.22,21.14,0.13,22.31,21.09,22.21,20.71,22.62,-0.38,21.51,0.03,23.15,21.61,23.73,21.07,22.62,-0.38,21.51,0.03,23.15,21.61,23.73,21.07,18.96,18.61,31.68,25.25,23.52,24.99,25.05,23.66,8/25/25,2986.466742547222,0.0,Flat,Stable,Falling,18.05,31.68,-13.629999999999999,13.629999999999999,-4.77,-2.7399999999999984,-2.8000000000000007,-1.75,-43.023989898989896,-18.89108910891089,-11.649659863945573,-11.834319526627223,-7.396449704142012,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,Ranging,Bearish,Bearish,24,True,-0.4513,-0.44,-1.47,125.28,126.31,1.82,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[120.0],"[""ABT260320P00120000""]",put,640.0,0.0,55.736222810704334,3842,7.1197411003236315,320.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,86.7208668432113,True,86.7208668432113,Long Put,1,7040.0,11.0
GOOG,2025-08-25 07:26:32.741984,34.4,1.94,34.37,2.47,32.33,32.78,50.25,49.52,33.18,0.73,33.12,1.23,32.33,32.78,46.01,44.72,31.57,0.84,31.49,0.92,30.96,30.78,39.05,38.45,30.63,0.75,30.34,0.86,30.21,29.47,36.98,34.12,29.72,1.3,29.43,1.09,28.72,28.13,32.01,32.52,30.91,0.59,30.47,0.71,30.19,29.4,29.64,28.94,29.93,0.27,29.41,0.67,29.87,29.02,31.67,32.58,29.74,0.46,29.11,1.32,29.5,28.9,31.24,29.72,30.47,0.16,29.7,0.6,30.23,29.07,30.48,28.47,30.44,0.32,29.38,0.62,30.68,29.08,31.42,28.34,30.54,0.25,29.3,0.42,30.93,29.16,31.09,28.43,31.38,0.32,29.24,0.1,31.58,29.11,32.42,30.1,31.55,0.32,29.2,0.01,31.7,29.24,32.33,30.09,19.1,22.37,19.66,21.75,27.29,32.95,33.21,32.98,8/25/25,2986.466742547222,6.203840472673536,Flat,Stable,Stable,30.63,19.66,10.969999999999999,10.969999999999999,7.969999999999999,3.620000000000001,-2.509999999999998,-2.4399999999999977,55.798575788402836,36.643678160919535,13.264932209600591,-7.61067313523347,-7.398423286840503,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,Trending,Bullish,Bullish,127,True,3.6319,1.28,21.37,313.68,293.59,2.29,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[270.0],"[""GOOG260320C00270000""]",call,10530.0,0.0,84.40399084137199,10581,2.0143884892086277,5265.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,86.3211972524116,True,86.3211972524116,Long Call,1,10530.0,1.0
COP,2025-08-25 07:31:48.958174,26.6,2.59,26.55,2.59,27.63,27.52,28.15,27.35,26.47,2.46,26.37,2.41,27.63,27.52,30.63,29.86,26.38,1.14,26.26,1.5,26.79,26.68,30.46,30.42,26.45,0.4,25.91,1.06,26.9,25.95,29.5,28.97,27.07,-0.34,27.07,1.01,27.32,27.31,28.19,27.72,28.26,1.37,28.02,1.25,27.69,27.47,28.25,27.2,27.78,0.5,27.57,0.62,27.94,27.43,28.51,27.39,27.71,0.13,27.46,0.45,28.11,27.38,28.75,27.63,28.37,0.14,27.87,1.27,28.26,27.7,28.89,27.81,28.5,-0.88,27.73,0.74,28.73,27.53,29.28,27.96,28.34,-0.68,27.76,0.13,28.64,27.51,29.43,28.1,29.27,-0.79,28.36,0.38,29.99,28.36,30.47,28.24,29.19,-1.16,28.5,0.4,30.35,28.58,30.8,28.35,17.05,20.1,21.17,25.44,26.82,39.66,38.41,35.83,8/25/25,2986.466742547222,0.0,Flat,Stable,Falling,26.45,21.17,5.279999999999998,5.279999999999998,1.629999999999999,1.4400000000000013,-7.459999999999997,-7.489999999999998,24.94095418044401,6.407232704402512,5.369127516778528,-20.82054144571587,-20.904270164666478,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,Neutral,Bullish,Bullish,25,True,-0.5363,-1.25,1.96,92.79,89.58,2.62,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[90.0],"[""COP260320C00090000""]",call,1150.0,0.0,54.37292047866869,215,3.5398230088495604,575.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,86.3118761436006,True,86.3118761436006,Long Call,1,6900.0,6.0
CRM,2025-08-25 07:27:01.157154,59.99,4.75,59.82,4.19,31.12,30.68,32.23,31.09,55.54,0.3,55.12,-0.51,31.12,30.68,31.3,30.68,48.96,-0.01,48.65,-1.24,48.97,48.58,30.1,29.28,43.99,-0.04,44.03,0.04,44.96,44.08,29.79,27.98,38.1,0.3,37.91,0.18,38.99,38.31,36.74,35.64,36.16,0.37,35.67,0.13,36.65,35.41,34.25,33.49,37.35,-0.25,36.49,-0.16,37.51,36.41,33.33,32.61,35.85,-0.15,35.09,-0.02,36.49,35.39,35.31,34.02,34.76,-0.08,34.09,0.01,35.48,34.56,34.06,32.79,34.62,0.12,33.71,0.09,35.0,34.2,33.95,32.38,34.14,0.05,33.33,0.13,35.34,34.2,34.4,32.51,35.04,0.53,32.92,-0.31,35.31,33.19,34.4,32.49,34.93,0.41,32.53,-0.5,34.94,32.89,35.01,32.46,31.09,29.5,25.25,25.19,28.29,33.37,32.91,33.76,8/25/25,2986.466742547222,93.6058009228741,Inverted,Stable,Rising,43.99,25.25,18.740000000000002,18.740000000000002,12.91,7.869999999999997,1.0,0.38000000000000256,74.21782178217823,51.250496228662165,27.81901732060798,2.962085308056872,1.125592417061619,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,21,True,4.9585,11.42,17.34,254.66,248.74,2.05,True,True,True,Age_16_plus,Cash-Secured Put,Long Call,Directional,70.0,0.6982499999999999,Bullish,High,Medium,1,True,156.91548980049316,156.91548980049316,2,2.31,0.15691548980049316,500,volatility_scaled,True,45,60,52,Medium,Income strategy with moderate confidence (70.0): 45-60 DTE allows adjustment time,Success,2026-02-20,54,[260.0],"[""CRM260220C00260000""]",put,3050.0,0.0,74.39380026702821,1791,2.321724709784409,1525.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,85.81814008010846,True,85.81814008010846,Cash-Secured Put,1,6100.0,2.0
PM,2025-08-25 07:26:52.687828,24.32,1.47,23.99,1.9,22.3,22.21,24.67,24.13,23.91,1.06,23.67,1.58,22.3,22.21,24.79,23.42,23.65,-0.86,23.36,0.51,22.61,21.63,24.3,23.19,23.74,0.32,23.56,0.31,23.0,22.85,23.8,23.8,25.35,0.88,25.35,1.31,23.87,23.4,23.36,23.48,27.06,0.48,26.9,0.53,26.06,25.9,24.69,23.89,26.28,0.58,26.05,0.18,26.02,25.93,26.21,25.62,26.02,0.32,25.75,0.8,25.79,25.14,25.9,25.37,26.19,0.65,25.92,0.51,25.78,25.35,25.87,25.06,26.01,0.21,25.48,0.0,25.76,25.19,25.88,25.68,26.09,0.23,25.53,0.32,25.9,25.47,25.7,25.67,25.98,0.01,25.36,0.12,26.15,25.36,26.99,25.55,25.98,0.01,25.36,0.12,26.15,25.36,26.99,25.55,20.41,21.13,33.04,26.7,24.73,26.5,28.35,27.09,8/25/25,2986.466742547222,92.49999999999972,Flat,Stable,Falling,23.74,33.04,-9.3,9.3,-1.3499999999999979,2.3299999999999983,-0.8999999999999986,-1.0,-28.147699757869255,-5.056179775280891,9.421754953497768,-3.3222591362126193,-3.69139904023625,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Trending,Bullish,Bullish,10,True,3.6997,7.18,8.37,153.87,152.68,1.89,True,True,True,Age_6_15,Long Call,Cash-Secured Put,Directional,70.0,0.735,Bullish,High,Medium,1,True,156.91548980049316,156.91548980049316,2,2.77,0.15691548980049316,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (70.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[160.0],"[""PM260320C00160000""]",call,1920.0,0.0,52.47065896026323,831,5.347593582887701,960.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,85.74119768807897,True,85.74119768807897,Long Call,1,5760.0,3.0
META,2025-08-25 07:24:35.957669,25.73,1.2,25.66,0.89,25.54,24.88,54.95,54.26,25.84,1.31,25.75,0.98,25.54,24.88,47.07,45.78,26.21,0.71,26.11,0.55,25.21,24.58,41.34,40.46,26.67,0.16,26.53,0.35,25.73,25.29,37.5,36.83,29.01,0.73,28.7,0.75,27.15,26.39,32.61,32.07,32.44,0.12,32.03,0.17,31.54,30.82,31.7,30.98,31.73,0.02,31.26,-0.08,31.66,30.94,33.6,32.75,31.93,0.26,31.32,0.21,31.34,30.42,32.88,31.9,33.47,0.08,32.81,0.15,32.95,31.87,32.45,31.54,34.09,-0.02,33.09,-0.06,34.11,32.88,33.83,32.59,34.28,-0.09,33.35,0.15,34.3,33.07,33.92,32.59,34.89,0.36,32.79,-0.3,34.76,32.85,35.2,33.2,35.18,0.64,32.66,-0.36,34.91,32.91,35.49,33.35,27.48,48.13,39.95,32.97,35.16,45.24,41.77,40.08,8/25/25,2986.466742547222,7.98640611724725,Contango,Stable,Falling,26.67,39.95,-13.280000000000001,13.280000000000001,-3.9599999999999973,-2.719999999999999,-6.609999999999999,-5.799999999999997,-33.2415519399249,-12.010919017288437,-7.736063708759952,-16.49201596806387,-14.47105788423153,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,21,True,6.0148,7.78,6.33,655.51,656.96,2.62,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[665.0],"[""META260320C00665000""]",call,8900.0,0.0,82.38517361304548,1745,0.789622109419067,4450.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,85.71555208391365,True,85.71555208391365,Long Call,1,8900.0,1.0
CSCO,2025-08-25 07:26:55.315020,17.93,0.43,18.0,0.98,20.53,20.25,18.76,18.57,18.15,0.65,18.14,1.11,20.53,20.25,17.66,17.73,18.51,0.57,18.44,1.29,20.0,19.56,26.23,26.0,19.17,0.58,18.73,0.83,20.08,19.21,27.01,26.47,21.34,0.78,21.28,1.09,20.69,20.33,24.08,24.29,23.57,-0.19,23.52,0.5,23.52,22.86,23.18,23.19,23.21,-0.39,22.82,0.58,23.81,22.95,23.89,23.76,23.4,0.25,22.92,0.51,23.17,22.14,24.29,24.04,23.72,0.12,23.27,0.47,23.65,22.54,24.12,23.14,24.25,0.07,23.8,0.64,23.94,23.23,24.33,23.88,24.86,-0.01,24.0,0.87,24.32,23.25,24.62,23.65,24.65,-0.1,23.95,1.22,24.94,23.04,25.14,23.94,24.65,-0.1,23.95,1.22,24.94,23.04,25.14,23.94,27.25,26.88,22.63,19.74,20.57,27.52,26.36,24.52,8/25/25,2986.466742547222,0.0,Contango,Stable,Rising,19.17,22.63,-3.4599999999999973,3.4599999999999973,1.6000000000000014,3.0,-0.8000000000000007,0.33999999999999986,-15.289438798055668,8.105369807497475,14.584346135148273,-3.2626427406199054,1.3866231647634577,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,Ranging,Bullish,Bullish,88,True,0.193,0.24,2.96,77.93,75.2,1.79,True,True,True,Age_16_plus,Long Straddle,Long Strangle,Directional,70.0,0.6649999999999999,Bidirectional,High,Low,1,True,188.2985877605918,188.2985877605918,3,1.49,0.1882985877605918,500,volatility_scaled,True,60,90,75,Medium-Long,Volatility strategy with depressed IV Rank (0): 60-90 DTE to capture vol expansion,Success,2026-03-20,82,"[70.0, 70.0]","[""CSCO260320C00070000"", ""CSCO260320P00070000""]",mixed,3267.0,0.0,51.79695930600283,8225,7.021239248727409,1089.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,85.53908779180085,True,85.53908779180085,Long Straddle,1,6534.0,2.0
TXN,2025-08-25 07:31:09.424464,24.94,0.72,24.79,0.77,27.73,27.49,29.78,30.63,25.06,0.84,24.89,0.86,27.73,27.49,29.02,30.37,25.39,1.44,25.16,0.61,26.49,26.64,28.89,28.18,25.87,0.52,25.09,-0.32,26.37,26.52,29.07,27.79,27.76,0.34,27.4,1.08,27.06,26.76,26.93,25.49,30.65,0.06,30.39,0.35,29.6,29.14,27.66,26.2,29.84,-0.49,29.57,0.11,29.97,29.26,29.17,28.53,29.5,-0.43,29.07,0.33,29.29,28.74,29.09,28.01,30.13,0.14,29.7,0.44,29.86,29.15,28.8,28.1,30.09,-0.08,29.56,0.25,30.4,29.25,29.51,28.6,29.84,-0.07,29.18,0.12,30.37,29.4,29.71,28.93,29.77,-0.39,28.79,-0.27,30.63,28.96,30.67,29.08,29.77,-0.39,28.79,-0.27,30.63,28.96,30.67,29.08,30.11,29.98,49.29,37.96,39.12,48.73,46.76,43.74,8/25/25,2986.466742547222,0.0,Contango,Stable,Falling,25.87,49.29,-23.419999999999998,23.419999999999998,-10.2,-8.469999999999999,-13.610000000000003,-13.900000000000002,-47.51470886589571,-26.870389884088514,-21.651329243353782,-31.115683584819394,-31.778692272519436,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Ranging,Bullish,Bullish,25,True,0.2149,-0.75,7.66,177.63,169.22,2.01,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[175.0],"[""TXN260320C00175000""]",call,2520.0,0.0,51.66714194903921,384,4.048582995951417,1260.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,85.50014258471177,True,85.50014258471177,Long Call,1,5040.0,2.0
